,num_bingo_tries,num_tries_row0,num_tries_col0,num_tries_row1,num_tries_col1,num_tries_row2,num_tries_col2,num_tries_row3,num_tries_col3,num_tries_row4,num_tries_col4,num_tries_rows,num_tries_cols,num_tries_diag1,num_tries_diag2,num_tries_diag,num_tries_corners
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
5,37,0,0,1,2,1,1,0,1,0,1,2,5,0,0,0,30
6,109,7,3,3,2,1,4,1,3,5,2,17,14,3,3,6,72
7,288,13,8,8,7,8,12,6,12,11,5,46,44,7,9,16,182
8,528,16,24,17,14,20,16,20,21,20,15,93,90,20,30,50,295
9,933,40,49,47,45,41,25,43,43,30,38,201,200,52,32,84,448
10,1534,83,70,70,69,63,71,66,60,73,72,355,342,92,67,159,678
11,2355,98,115,129,120,107,126,115,118,108,116,557,595,106,116,222,981
12,3725,206,192,211,217,184,210,188,187,184,177,973,983,191,188,379,1390
13,5332,289,300,289,272,293,278,308,299,278,298,1457,1447,312,288,600,1828
14,7267,396,419,425,396,410,400,400,453,402,378,2033,2046,425,423,848,2340
15,9873,607,570,551,542,593,576,585,552,612,601,2948,2841,573,561,1134,2950
16,13125,743,782,764,790,788,796,856,786,800,739,3951,3893,794,779,1573,3708
17,16948,1003,1021,1044,1051,1081,1150,1032,1073,1002,950,5162,5245,989,994,1983,4558
18,21594,1365,1302,1383,1415,1315,1326,1370,1405,1296,1266,6729,6714,1272,1280,2552,5599
19,27426,1737,1733,1730,1765,1753,1777,1834,1771,1718,1674,8772,8720,1688,1742,3430,6504
20,33571,2085,2114,2192,2208,2199,2242,2172,2191,2150,2201,10798,10956,2154,2203,4357,7460
21,41338,2656,2568,2857,2767,2810,2722,2787,2727,2626,2647,13736,13431,2545,2585,5130,9041
22,50030,3302,3167,3328,3385,3410,3363,3326,3350,3268,3253,16634,16518,3232,3181,6413,10465
23,60236,3980,3878,4154,4037,4278,4204,4126,4263,3796,3886,20334,20268,3847,3852,7699,11935
24,71069,4729,4599,4963,4947,4960,4918,5000,4985,4579,4676,24231,24125,4550,4621,9171,13542
25,83482,5500,5569,6014,5833,5768,5997,5932,5871,5540,5397,28754,28667,5355,5473,10828,15233
26,97568,6440,6416,6953,6851,7001,7046,6746,7014,6443,6508,33583,33835,6447,6278,12725,17425
27,112389,7365,7465,8035,8155,8008,8166,8028,8136,7343,7553,38779,39475,7360,7417,14777,19358
28,127938,8432,8734,9354,9341,9342,9211,9189,9294,8393,8569,44710,45149,8547,8429,16976,21103
29,145875,9908,9622,10963,10839,10625,10791,10813,10629,9642,9673,51951,51554,9642,9636,19278,23092
30,164367,11048,11080,12232,12287,12413,12092,12129,12141,10957,10898,58779,58498,10779,10828,21607,25483
